IP:139951292193406		 Register Value: %d24256528
IP:139951292193424		 Register Value: %d24256528
IP:4196105		 Register Value: %d917823136
IP:4196105		 Register Value: %d24256528
IP:4195815		 Register Value: %d917823088
IP:4195815		 Register Value: %d-943793152
IP:4195821Memory Add: 140721226309200		 Immediate Value: 22222
IP:139951620339375		 Register Value: %d917822624
IP:139951620339375		 Register Value: %d0
IP:139951620339383		 Register Value: %d917822624
IP:139951620339383		 Register Value: %d438
IP:139951620339391		 Register Value: %d917822624
IP:139951620339391		 Register Value: %d0
IP:139951620339399		 Register Value: %d917822624
IP:139951620339399		 Register Value: %d917823056
IP:139951620339407		 Register Value: %d917822624
IP:139951620339407		 Register Value: %d4196264
IP:139951620339415		 Register Value: %d917822624
IP:139951620339415		 Register Value: %d4
IP:139951620339423		 Register Value: %d917822624
IP:139951620339423		 Register Value: %d1
IP:139951620339431		 Register Value: %d917822624
IP:139951620339436		 Register Value: %d917822624
IP:139951620339442		 Register Value: %d917822624
IP:139951620339448		 Register Value: %d917822624
IP:139951620339454		 Register Value: %d917822624
IP:139951620339463		 Register Value: %d917822624
IP:139951620339472		 Register Value: %d917822624
IP:139951620339481		 Register Value: %d917822624
IP:139951620307043		 Register Value: %d917822592
IP:139951620307043		 Register Value: %d4195048
IP:139951620286496		 Register Value: %d917822560
IP:139951620286496		 Register Value: %d4195178
IP:139951620286503		 Register Value: %d917822560
IP:139951620286503		 Register Value: %d113161408
IP:139951620286510		 Register Value: %d917822560
IP:139951620286570		 Register Value: %d917822560
IP:139951620286570		 Register Value: %d359345080
IP:139951620286593		 Register Value: %d917822560
IP:139951620286593		 Register Value: %d-1
IP:139951620286600Memory Add: 140721226308560		 Immediate Value: 0
IP:139951620286611Memory Add: 140721226308568		 Immediate Value: 0
IP:139951620286659Memory Add: 140721226308488		 Immediate Value: 0
IP:139951620286697		 Register Value: %d917822560
IP:139951620286697		 Register Value: %d917822416
IP:139951620286711		 Register Value: %d917822560
IP:139951620286711		 Register Value: %d917822400
IP:139951620283573		 Register Value: %d917822064
IP:139951620283573		 Register Value: %d4195178
IP:139951620283578		 Register Value: %d917822064
IP:139951620283578		 Register Value: %d917822400
IP:139951620283583		 Register Value: %d917822064
IP:139951620283583		 Register Value: %d4195048
IP:139951620283588		 Register Value: %d917822064
IP:139951620283588		 Register Value: %d917822416
IP:139951620283627		 Register Value: %d917822064
IP:139951620283627		 Register Value: %d359345080
IP:139951620283632		 Register Value: %d917822064
IP:139951620283632		 Register Value: %d5614766
IP:139951620283649		 Register Value: %d917822064
IP:139951620283649		 Register Value: %d917822196
IP:139951620283662		 Register Value: %d917822064
IP:139951620283662		 Register Value: %d917822200
IP:139951620283672		 Register Value: %d917822064
IP:139951620283759Memory Add: 140721226308340		 Immediate Value: 0
IP:139951620283770Memory Add: 140721226308344		 Immediate Value: 0
IP:139951620283786		 Register Value: %d917822064
IP:139951620283786		 Register Value: %d4195000
IP:139951620283799		 Register Value: %d917822064
IP:139951620283799		 Register Value: %d4195144
IP:139951620283759Memory Add: 140721226308340		 Immediate Value: 0
IP:139951620283770Memory Add: 140721226308344		 Immediate Value: 0
IP:139951620283786		 Register Value: %d917822064
IP:139951620283786		 Register Value: %d-217629312
IP:139951620283799		 Register Value: %d917822064
IP:139951620283799		 Register Value: %d-217575432
IP:139951620285389		 Register Value: %d917822064
IP:139951620285389		 Register Value: %d-211998264
IP:139951620285394		 Register Value: %d917822064
IP:139951620285399		 Register Value: %d917822064
IP:139951620285399		 Register Value: %d1
IP:139951620285410		 Register Value: %d917822064
IP:139951620285410		 Register Value: %d0
IP:139951620285418		 Register Value: %d917822064
IP:139951620285418		 Register Value: %d3
IP:139951620284371		 Register Value: %d917822416
IP:139951620284371		 Register Value: %d-217614840
IP:139951620284374		 Register Value: %d917822416
IP:139951620284374		 Register Value: %d-211999552
IP:139951620286912		 Register Value: %d917822600
IP:139951620286912		 Register Value: %d-217614840
IP:139951620307255		 Register Value: %d6295584
IP:139951620307255		 Register Value: %d-217294848
IP:139951292045321		 Register Value: %d917822816
IP:139951292045321		 Register Value: %d917823056
IP:139951292045326		 Register Value: %d917822816
IP:139951292045326		 Register Value: %d0
IP:139951292045331		 Register Value: %d917822816
IP:139951292045331		 Register Value: %d438
IP:139951292045336		 Register Value: %d917822816
IP:139951292045336		 Register Value: %d4
IP:139951292045341		 Register Value: %d917822816
IP:139951292045341		 Register Value: %d1
IP:139951292045419		 Register Value: %d917822816
IP:139951292045419		 Register Value: %d917823040
IP:139951292045429Memory Add: 140721226308968		 Immediate Value: 8
IP:139951292045437Memory Add: 140721226308972		 Immediate Value: 48
IP:139951292045445		 Register Value: %d917822816
IP:139951292045445		 Register Value: %d917822848
IP:139951292010894		 Register Value: %d917822800
IP:139951292010914Memory Add: 139951295645408		 Immediate Value: 4294967295
IP:139951292010973		 Register Value: %d917822800
IP:139951292010982		 Register Value: %d917822800
IP:139951292010982		 Register Value: %d8
IP:139951292010993		 Register Value: %d917822800
IP:139951292010993		 Register Value: %d917823040
IP:139951292011004		 Register Value: %d917822800
IP:139951292011004		 Register Value: %d917822848
IP:139951292011025		 Register Value: %d917822800
IP:139951292011025		 Register Value: %d4196282
IP:139951292011191		 Register Value: %d917822800
IP:139951292011191		 Register Value: %d-213694944
IP:139951292011198		 Register Value: %d917822800
IP:139951292011198		 Register Value: %d-217205632
IP:139951292011285		 Register Value: %d-213690496
IP:139951292011285		 Register Value: %d-218208512
IP:139951292011063		 Register Value: %d917822800
IP:139951292011063		 Register Value: %d18
IP:139951292224156		 Register Value: %d917820848
IP:139951292224156		 Register Value: %d1024
IP:139951292226308		 Register Value: %d917820848
IP:139951292224467		 Register Value: %d917820848
IP:139951292224467		 Register Value: %d16
IP:139951292224472		 Register Value: %d917820848
IP:139951292224472		 Register Value: %d0
IP:139951292224483		 Register Value: %d917820848
IP:139951292224483		 Register Value: %d2
IP:139951292224488		 Register Value: %d917820848
IP:139951292224495		 Register Value: %d917820848
IP:139951292224508		 Register Value: %d917820848
IP:139951292224524		 Register Value: %d917820848
IP:139951292224528		 Register Value: %d917820848
IP:139951292224528		 Register Value: %d0
IP:139951292224544		 Register Value: %d917820848
IP:139951292224555		 Register Value: %d917820848
IP:139951292224555		 Register Value: %d-917820975
IP:139951292224565		 Register Value: %d917820848
IP:139951292224565		 Register Value: %d0
IP:139951292224577		 Register Value: %d917820848
IP:139951292224581		 Register Value: %d917820848
IP:139951292224581		 Register Value: %d917820976
IP:139951292224586		 Register Value: %d917820848
IP:139951292224586		 Register Value: %d917820975
IP:139951292227185		 Register Value: %d-213697760
IP:139951292227185		 Register Value: %d24258112
IP:139951292227210		 Register Value: %d24257072
IP:139951292227210		 Register Value: %d1041
IP:139951292227214		 Register Value: %d24258112
IP:139951292227214		 Register Value: %d133569
IP:139951292200215		 Register Value: %d-213694944
IP:139951292200215		 Register Value: %d24258112
IP:139951292200229		 Register Value: %d-213694944
IP:139951292200229		 Register Value: %d24257088
IP:139951292200236		 Register Value: %d-213694944
IP:139951292197118		 Register Value: %d-213694944
IP:139951292197118		 Register Value: %d24257088
IP:139951292197122		 Register Value: %d-213694944
IP:139951292197122		 Register Value: %d24257088
IP:139951292197126		 Register Value: %d-213694944
IP:139951292197126		 Register Value: %d24257088
IP:139951292196807		 Register Value: %d-213694944
IP:139951292196807		 Register Value: %d24258112
IP:139951292196816		 Register Value: %d-213694944
IP:139951292196816		 Register Value: %d24257088
IP:139951292196820		 Register Value: %d-213694944
IP:139951292196820		 Register Value: %d24257088
IP:139951292196824		 Register Value: %d-213694944
IP:139951292196824		 Register Value: %d24257088
IP:139951292196828		 Register Value: %d-213694944
IP:139951292196828		 Register Value: %d24257088
IP:139951292196837		 Register Value: %d-213694944
IP:139951292196857		 Register Value: %d-213694944
IP:139951292196857		 Register Value: %d24257088
IP:139951292196721		 Register Value: %d-213694944
IP:139951292196721		 Register Value: %d24257089
IP:139951292196725		 Register Value: %d24257088
IP:139951292196721		 Register Value: %d-213694944
IP:139951292196721		 Register Value: %d24257090
IP:139951292196725		 Register Value: %d24257089
IP:139951292196721		 Register Value: %d-213694944
IP:139951292196721		 Register Value: %d24257091
IP:139951292196725		 Register Value: %d24257090
IP:139951292196721		 Register Value: %d-213694944
IP:139951292196721		 Register Value: %d24257092
IP:139951292196725		 Register Value: %d24257091
IP:139951292196721		 Register Value: %d-213694944
IP:139951292196721		 Register Value: %d24257093
IP:139951292196725		 Register Value: %d24257092
IP:139951292196721		 Register Value: %d-213694944
IP:139951292196721		 Register Value: %d24257094
IP:139951292196725		 Register Value: %d24257093
IP:139951292196721		 Register Value: %d-213694944
IP:139951292196721		 Register Value: %d24257095
IP:139951292196725		 Register Value: %d24257094
IP:139951292196721		 Register Value: %d-213694944
IP:139951292196721		 Register Value: %d24257096
IP:139951292196725		 Register Value: %d24257095
IP:139951292196721		 Register Value: %d-213694944
IP:139951292196721		 Register Value: %d24257097
IP:139951292196725		 Register Value: %d24257096
IP:139951292196721		 Register Value: %d-213694944
IP:139951292196721		 Register Value: %d24257098
IP:139951292196725		 Register Value: %d24257097
IP:139951292196721		 Register Value: %d-213694944
IP:139951292196721		 Register Value: %d24257099
IP:139951292196725		 Register Value: %d24257098
IP:139951292196721		 Register Value: %d-213694944
IP:139951292196721		 Register Value: %d24257100
IP:139951292196725		 Register Value: %d24257099
IP:139951292196721		 Register Value: %d-213694944
IP:139951292196721		 Register Value: %d24257101
IP:139951292196725		 Register Value: %d24257100
IP:139951292196721		 Register Value: %d-213694944
