IP:139910193900582		 Register Value: -1156098973
IP:139910193900606		 Register Value: 1636466288
IP:139910193900616		 Register Value: 1634213888
IP:139910193900703		 Register Value: 1636469272
IP:139910193900703		 Register Value: 14
IP:139910193900703		 Register Value: 1636466288
IP:139910193900703		 Register Value: 1636469272
IP:139910193900703		 Register Value: 4
IP:139910193900703		 Register Value: 1636466304
IP:139910193901627		 Register Value: -511015912
IP:139910193901627		 Register Value: -1879047925
IP:139910193901627		 Register Value: 1636466320
IP:139910193900703		 Register Value: 1636469272
IP:139910193900703		 Register Value: 5
IP:139910193900703		 Register Value: 1636466336
IP:139910193900703		 Register Value: 1636469272
IP:139910193900703		 Register Value: 6
IP:139910193900703		 Register Value: 1636466352
IP:139910193900703		 Register Value: 1636469272
IP:139910193900703		 Register Value: 10
IP:139910193900703		 Register Value: 1636466368
IP:139910193900703		 Register Value: 1636469272
IP:139910193900703		 Register Value: 11
IP:139910193900703		 Register Value: 1636466384
IP:139910193900703		 Register Value: 1636469272
IP:139910193900703		 Register Value: 3
IP:139910193900703		 Register Value: 1636466400
IP:139910193900703		 Register Value: 1636469272
IP:139910193900703		 Register Value: 2
IP:139910193900703		 Register Value: 1636466416
IP:139910193900703		 Register Value: 1636469272
IP:139910193900703		 Register Value: 20
IP:139910193900703		 Register Value: 1636466432
IP:139910193900703		 Register Value: 1636469272
IP:139910193900703		 Register Value: 23
IP:139910193900703		 Register Value: 1636466448
IP:139910193900703		 Register Value: 1636469272
IP:139910193900703		 Register Value: 7
IP:139910193900703		 Register Value: 1636466464
IP:139910193900703		 Register Value: 1636469272
IP:139910193900703		 Register Value: 8
IP:139910193900703		 Register Value: 1636466480
IP:139910193900703		 Register Value: 1636469272
IP:139910193900703		 Register Value: 9
IP:139910193900703		 Register Value: 1636466496
IP:139910193900754		 Register Value: 1636469272
IP:139910193900754		 Register Value: 37
IP:139910193900754		 Register Value: 1636466512
IP:139910193900754		 Register Value: 1636469272
IP:139910193900754		 Register Value: 36
IP:139910193900754		 Register Value: 1636466528
IP:139910193900754		 Register Value: 1636469272
IP:139910193900754		 Register Value: 49
IP:139910193900754		 Register Value: 1636466544
IP:139910193900754		 Register Value: 1636469272
IP:139910193900754		 Register Value: 40
IP:139910193900754		 Register Value: 1636466560
IP:139910193901470		 Register Value: 1636466096
IP:139910193901470		 Register Value: 1634284976
IP:139910193901470		 Register Value: 1636466104
IP:139910193901470		 Register Value: 1634280224
IP:139910193901470		 Register Value: 1636466112
